NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024
JEMBER;SUMBERBARU;JAMBESARI;0.6743;0.5833;0.8667;0.7081;MAJU;MANDIRI
JEMBER;TEMPUREJO;CURAHTAKIR;0.7943;0.55;0.8;0.7148;MAJU;MANDIRI
JEMBER;TEMPUREJO;PONDOKREJO;0.8;0.55;0.8;0.7167;MAJU;MANDIRI
JEMBER;SUKOWONO;POCANGAN;0.6686;0.4833;1.0;0.7173;MAJU;MANDIRI
JEMBER;SUKOWONO;SUKOREJO;0.8229;0.6667;0.6667;0.7187;MAJU;MANDIRI
